,ID_NUEVO,NOM,DEMOLIDO,COD_PROY,REG,COM,CUT,DIRECC,NUM_P_EDIF,AÑO_P_EDI,AÑO_RECEP,N_DEPA,N_CASA,VIV_TOT,PROGRAMA,BLOQUES,PISOS_CASA,COPROP_A,COPROP_B,COPROP_TOT,ASBESTO,SIST_AGRUP,VOLUMEN,SUP_LOTE,SUP_PROM_D,Capa,geometry,Nombre_escuela,dist_escuela,Nombre_comisaria,dist_comisaria,Nombre_bomberos,dist_bomberos,Nombre_hospital,dist_hospital,Nombre_universidad,dist_universidad,Nombre_jardin,dist_jardin
0,01101CCSS-001,Alelies I,0,,Tarapaca,Iquique,01101,Pasaje El Pimiento 1745,362,1992,1993,60,0,60,PET (Programa Especial para Trabajadores),3,0,0,0,0,No,Paralelo,Paralelepípedo,3587.0,55.4,Catastro Condominios Sociales,POINT (-70.14301513548536 -20.23739471250566),ESCUELA THILDA PORTILLO OLIVARES,233.24170123637302,LIBERTADOR BERNARDO O'HIGGINS,2029.5584915574902,Iquique,2655.7136695568884,Servicio de Salud Iquique,2343.2485208377916,UNIVERSIDAD SANTO TOMAS,303.63076597185017,PECECITO,590.5371929774403
1,01101CCSS-002,Alelies II,0,112646,Tarapaca,Iquique,01101,Heroes de la Concepción N° 2675,228,1993,1994,340,0,340,PET (Programa Especial para Trabajadores),17,0,1,0,1,No,Paralelo,Paralelepípedo,18134.0,64.0,Catastro Condominios Sociales,POINT (-70.14417826948102 -20.23638826402198),ESCUELA THILDA PORTILLO OLIVARES,317.72742597541315,LIBERTADOR BERNARDO O'HIGGINS,1893.338668071738,Iquique,2522.6839480883627,Servicio de Salud Iquique,2272.5332097330443,UNIVERSIDAD SANTO TOMAS,341.4908446796845,LOS PATITOS,633.9251906617708
2,01101CCSS-003,Altos del Mar I y II,0,111052,Tarapaca,Iquique,01101,Pasaje Peatonal N°4058,41,1994,1995,320,42,362,PET (Programa Especial para Trabajadores),15,0,2,1,3,No,Paralelo,Paralelepípedo,45148.0,50.43,Catastro Condominios Sociales,POINT (-70.12469243331977 -20.26483687682515),JARDIN INFANTIL HISPANO BRITANICO S. A.,97.7200361213542,LOS AROMOS,3230.8006748360185,Alto Hospicio,2065.6422451534377,Servicio de Salud Iquique,5216.204834310417,UNIVERSIDAD ARTURO PRAT,630.8315036859976,ALTOS DEL MAR,149.1355172580746
3,01101CCSS-004,Cavancha,0,,Tarapaca,Iquique,01101,Santa Coloma  N°2812,9,1975,1976,78,0,78,CORVI,3,0,0,0,0,No,Bloque independiente,Paralelepípedo,4660.0,72.0,Catastro Condominios Sociales,POINT (-70.14811341603888 -20.2372103432226),ESCUELA THILDA PORTILLO OLIVARES,717.7468168699074,LIBERTADOR BERNARDO O'HIGGINS,1875.841276740454,Iquique,2510.328414350103,Servicio de Salud Iquique,2481.0748862414043,UNIVERSIDAD SANTO TOMAS,400.40978560300715,IKE - IKE,980.5102583335977
4,01101CCSS-005,Camiña,0,,Tarapaca,Iquique,01101,Obispo Labbe N°96,329,1980,1981,60,0,60,,3,0,1,0,1,No,Bloque independiente,Paralelepípedo,4300.0,76.62,Catastro Condominios Sociales,POINT (-70.14975252864255 -20.20948138520995),J.I.SAINT MARGARET ROSE GARDEN,399.38617245205023,LIBERTADOR BERNARDO O'HIGGINS,921.7722326717563,Iquique,371.35660715732297,Servicio de Salud Iquique,1256.3372259781356,CFT DE LA REGION DE TARAPACA,154.8717775642003,PEQUENO MORRO,855.6129062431135
5,01101CCSS-006,Chacarillas,0,88638,Tarapaca,Iquique,01101,Av. Salvador allendes 2526-2566,15,1987,1987,204,0,204,PET (Programa Especial para Trabajadores),5,0,0,0,0,Sí,Bloque independiente,Paralelepípedo,9083.7,42.71,Catastro Condominios Sociales,POINT (-70.13702294910151 -20.23607970912357),ESCUELA THILDA PORTILLO OLIVARES,398.5181322412387,LIBERTADOR BERNARDO O'HIGGINS,2220.917863401307,Iquique,2802.2453869901574,Servicio de Salud Iquique,2165.3967582420364,UNIVERSIDAD DE TARAPACA,498.11655689705464,PECECITO,237.82688978102811
6,01101CCSS-007,Altos Del Dragon,0,109992,Tarapaca,Iquique,01101,Algarrobo N°3545,907,2001,2003,247,0,247,PET (Programa Especial para Trabajadores),12,0,1,0,1,No,Longitudinal,Paralelepípedo,8468.5,56.0,Catastro Condominios Sociales,POINT (-70.12430168198523 -20.27217149973371),LICEO SAMCA ARUMANTI,124.313927364339,LOS AROMOS,3081.6338558290945,Alto Hospicio,2014.995241075379,Servicio de Salud Iquique,5936.672622953079,UNIVERSIDAD TECNOLOGICA DE CHILE INACAP,182.8730703028546,ALTOS DEL MAR,590.4192519575379
7,01101CCSS-008,Arturo Prat,0,,Tarapaca,Iquique,01101,Anibal Pinto  1045,135,1965,,60,0,60,,3,0,1,0,1,No,Longitudinal,Paralelepípedo,7670.0,43.0,Catastro Condominios Sociales,POINT (-70.15330641760183 -20.21785320014676),COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,90.72708743869904,LIBERTADOR BERNARDO O'HIGGINS,264.95581920497364,Iquique,558.6453528378551,Servicio de Salud Iquique,1546.6360137215668,UNIVERSIDAD ARTURO PRAT,154.31149987039933,PEQUENO MORRO,65.73429788651407
8,01101CCSS-009,Patricio Lynch,0,,Tarapaca,Iquique,01101,Patricio Lynch N° 548,,1941,,84,0,84,,2,0,1,0,1,No,Perpendicular,Paralelepípedo,7078.0,40.4,Catastro Condominios Sociales,POINT (-70.15113480180948 -20.21804544826855),COLEGIO NUSTA KORI,157.27136332723722,LIBERTADOR BERNARDO O'HIGGINS,69.56264105961596,Iquique,570.1690843237401,Servicio de Salud Iquique,1340.634966274973,UNIVERSIDAD ARTURO PRAT,66.18433314087864,PEQUENO MORRO,244.24579218264293
9,01101CCSS-010,Las Dunas,1,,Tarapaca,Iquique,01101,,292,1980,1984,480,71,551,Programa de vivienda básica,39,0,1,1,2,,Paralelo,Paralelepípedo,65232.0,40.84,Catastro Condominios Sociales,POINT (-70.12748902215303 -20.23974638651083),COLEGIO ESPANA,136.42527581141766,LIBERTADOR BERNARDO O'HIGGINS,3142.8093200191006,Iquique,3673.2796418071043,Servicio de Salud Iquique,2746.925959074469,UNIVERSIDAD ARTURO PRAT,1188.3332381672014,DRAGONCITO,170.53180911368347
10,01101CCSS-011,Padre Hurtado,0,6381,Tarapaca,Iquique,01101,Riquelme N° 931,363,1992,1993,140,0,140,PET (Programa Especial para Trabajadores),7,0,0,0,0,Sí,Paralelo,Paralelepípedo,7814.0,54.07,Catastro Condominios Sociales,POINT (-70.14628138183922 -20.22207835096404),COLEGIO ACADEMIA TARAPACA ORELLA,141.96196398726988,LIBERTADOR BERNARDO O'HIGGINS,565.8541384102892,Iquique,1124.447655396143,Servicio de Salud Iquique,1109.462816599671,UNIVERSIDAD DE TARAPACA,404.3769777631534,VERDE ESPERANZA,372.0446357062339
