Nombre,Region,CUT_Reg,Provincia,CUT_provin,Comuna,CUT_comuna,Categoria_,SUP_M2,T__HOGARES,SUP_km,xcoord,ycoord
Bellavista,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,5229.48155318000,"29",0.00522948178,-71.6487595895825,-33.0364529193205
Buena Vista,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,12071.43163170000,"32",0.01207142752,-71.6312661512946,-33.0571138509641
Los Fleteros,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,19399.24041610000,"56",0.01939923807,-71.644537235058,-33.0590673194447
Pueblo Hundido,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Mixto,29889.37467800000,"65",0.02988937556,-71.6420558360026,-33.060856977069
Villa Italia Turin,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,9872.72008112000,"33",0.00987271992,-71.5754989118565,-33.0519866819959
Nueva Esperanza,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,2122.86103874000,"17",0.00212286298,-71.6530043119259,-33.030904463148
Francisco Vergara,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,17943.33984840000,"24",0.01794334011,-71.615655594597,-33.0619208074492
Manuel Rodríguez,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,3735.94777963000,"21",0.00373594741,-71.5810591360957,-33.0718859187389
Sofia 35,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,19014.66456330000,"69",0.01901466060,-71.6408660425383,-33.0566278025765
Las Viñas de Irene Frei,Valparaíso,"5",Marga Marga,"58",Villa Alemana,"5804",Urbano,8625.04419196000,"32",0.00862505575,-71.3914570507123,-33.0280593118312
Lomas de Bellavista,Valparaíso,"5",Marga Marga,"58",Villa Alemana,"5804",Urbano,23796.09730120000,"42",0.02379609328,-71.3944459222395,-33.0688448939109
Manzana 33,Valparaíso,"5",Marga Marga,"58",Villa Alemana,"5804",Urbano,15316.44680960000,"37",0.01531644687,-71.36408769845,-33.0596271699936
Ampliacion Prat - Lomas de Peñablanca,Valparaíso,"5",Marga Marga,"58",Villa Alemana,"5804",Urbano,77130.75764410000,"146",0.07713074583,-71.3583321462174,-33.0593383050824
Los Artesanos,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,8304.20529617000,"35",0.00830420454,-71.5361429064063,-33.0457152888099
La Unión - Elias Lafferte,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,2928.87717045000,"20",0.00292887579,-71.5415798241421,-33.0484953322066
John Kennedy,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,5720.83779273000,"48",0.00572082920,-71.6514890346918,-33.0427534970495
Pezoa Veliz,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,1540.08061754000,"22",0.00154008178,-71.6376286565003,-33.0585168784709
Violeta parra,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,70956.68975950000,"123",0.07095668820,-71.6309470805591,-33.0595730342536
La Isla,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,9917.89474138000,"17",0.00991790355,-71.5147885548526,-33.009236804681
Mesana Alto,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,83423.10083430000,"128",0.08342311053,-71.6270441146568,-33.0649937713972
El Palto - Juan Luis Trejo,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,8983.30055125000,"17",0.00898330054,-71.5150088549075,-33.0084962024097
El Vergel Alto,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,74354.06310109999,"161",0.07435408037,-71.6116327597747,-33.0708720882683
Cousiño San Pedro,Valparaíso,"5",Quillota,"55",Quillota,"5501",Rural,9843.53826775000,"25",0.00984355001,-71.2808964765315,-32.9400975382891
Pampa Ilusión (sector las Torres),Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,53066.16690460000,"195",0.05306617749,-71.5934983725702,-33.0742551991971
Cochamó,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,7837.53938857000,"30",0.00783754240,-71.5742410725997,-33.0557111366658
Sin Nombre 9,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,7565.32145435000,"22",0.00756532403,-71.6285618721506,-33.0604625529363
Parcela 11,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,218453.96323800000,"520",0.21845397416,-71.5357091712328,-33.0643249060842
Sin nombre 14,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Mixto,7238.83641521000,"12",0.00723883566,-71.5925194027309,-33.0718471748127
Sin nombre 10,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,7780.78798029000,"35",0.00778078543,-71.5951927295076,-33.0711509190116
La Ilusión,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,8163.38659580000,"32",0.00816338615,-71.5866094875927,-33.0507039325371
Parcela 15,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,62738.45903750000,"257",0.06273844745,-71.5490262673511,-33.0492453610241
Ampliacion Viento Sur,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,1814.03968500000,"8",0.00181403819,-71.6518245456224,-33.030711970118
La Tortuga,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,8958.31254954000,"35",0.00895831005,-71.6516404477274,-33.0317883169213
Sin Nombre 15,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,9167.10805541000,"26",0.00916711331,-71.5659467656129,-33.0550535948281
Sin nombre 13,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,5004.13438576000,"17",0.00500413207,-71.5625842925916,-33.0548211079896
Progreso en la comunidad,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,6963.61463400000,"39",0.00696361602,-71.6497206689974,-33.0434670746489
Colocolo,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,5814.80818853000,"26",0.00581480525,-71.5604503222988,-33.0555677255239
Vista al Mar,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,19132.53425620000,"52",0.01913252970,-71.6553244409289,-33.0450193920025
Simón Bolivar,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,9947.11464194000,"31",0.00994711590,-71.645797570362,-33.0487056435819
Viena 15,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,6865.35151466000,"30",0.00686535489,-71.6395858711474,-33.0525201468743
Campanillas,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,35721.08304530000,"98",0.03572107668,-71.6408760025001,-33.0513503956723
La Frontera,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,3588.90147359000,"12",0.00358890387,-71.6393993956156,-33.049097714772
Tiro al Blanco,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,4684.67463804000,"18",0.00468467834,-71.6160648419678,-33.0586627975112
Nueva Esperanza 2,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,3879.67000664000,"17",0.00387967154,-71.6101091163027,-33.0607310190939
Gran Futuro,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,7233.58455176000,"25",0.00723358234,-71.6061674665333,-33.0626402668353
Los Eucaliptus,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,5959.90902030000,"16",0.00595991093,-71.5893184886601,-33.0679503614278
Hernan Mery,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,20518.23727610000,"42",0.02051823893,-71.5870536868288,-33.0730043618863
La Isla,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,41193.49044930000,"116",0.04119348445,-71.5849299153766,-33.0781946641893
Pasaje Lorena,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,14869.06858320000,"34",0.01486907238,-71.6351791281458,-33.0551593020658
Las Alondras,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,6842.99832260000,"27",0.00684299616,-71.6419009540182,-33.0549564122628
Área Verde,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,9082.20729623000,"33",0.00908220718,-71.570733097197,-33.0492264929227
Nueva Aurora,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,38265.73836860000,"91",0.03826573892,-71.5578085122913,-33.0458754915802
La Cantera,Valparaíso,"5",Petorca,"54",Cabildo,"5402",Rural,12680.77350220000,"21",0.01268077355,-71.0220220522887,-32.4378838528958
Bajo Gustavo Lorca,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,6184.24418438000,"17",0.00618424389,-71.5382927891434,-33.0389431614638
Las Chilcas,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,10915.65697180000,"22",0.01091565619,-71.5358572385014,-33.0391473035084
"El Bosque, Loncura",Valparaíso,"5",Valparaíso,"51",Puchuncaví,"5105",Urbano,7187.00343403000,"14",0.00718700392,-71.4803597246114,-32.7454909692488
Nueva Generación,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,45764.12402450000,"75",0.04576413332,-71.5325671815007,-33.0477975977817
Río Valdivia,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,18838.68399960000,"63",0.01883868112,-71.5319560026364,-33.0451613767406
Valle el Dorado,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,33061.89194010000,"107",0.03306189082,-71.517116287802,-33.0322590150506
Monte Sinaí,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,105954.51896400000,"266",0.10595452366,-71.5139898968351,-33.0307733417099
Juventud unida,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,8748.18123016000,"31",0.00874818544,-71.4876924531169,-33.0322753705525
Manuel Bustos,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,695125.83853399998,"1647",0.69512584619,-71.4884241132993,-33.0186946009835
Amanecer,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,9650.77438318000,"63",0.00965077461,-71.498298075992,-33.0105467984364
Final Pedro de valdivia,Valparaíso,"5",Quillota,"55",Calera,"5502",Urbano,4406.23355788000,"22",0.00440623759,-71.2038419224622,-32.7819216408574
Reñaca Alto,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,254048.60155600001,"663",0.25404858904,-71.4798294211095,-33.0039612280485
Los Almendros,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,6735.37351606000,"12",0.00673537811,-71.5073480174095,-33.0169650686178
Los Soiles Gallineros,Valparaíso,"5",Quillota,"55",Hijuelas,"5503",Rural,12982.37489020000,"65",0.01298237563,-71.0821892750052,-32.8571727277894
Los Molles - Los Pajaritos,Valparaíso,"5",Quillota,"55",Nogales,"5506",Mixto,4825.04471166000,"31",0.00482504077,-71.2177811234627,-32.7380444222118
"Quebrada la Fábrica (ex lancheros del Bongo, sector 3)",Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Rural,25377.94193390000,"21",0.02537794506,-71.6483485836909,-33.0572471141003
Villa Canchita,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,2640.71620794000,"13",0.00264071592,-71.5075712603675,-32.9922673986975
Amanecer II,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,5656.79303075000,"17",0.00565679513,-71.5042150376919,-32.9931613403743
El Comienzo,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,3283.68794700000,"12",0.00328369114,-71.5033119866603,-32.993006661208
El Esfuerzo,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,3764.33573608000,"10",0.00376433327,-71.4985472075402,-33.0241014718702
El Legado,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,5844.08998524000,"22",0.00584409222,-71.5180955836731,-33.003800255214
Madre Tierra,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,18602.18873220000,"73",0.01860219085,-71.5179036641709,-33.0052791465222
Mirador Las Palmas,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,5251.59776921000,"14",0.00525160042,-71.5486668989919,-33.0490932052174
Hijos de Placilla,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,30808.78627100000,"88",0.03080878883,-71.5608291077827,-33.1092735914607
El Esfuerzo de Placilla II,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,3496.46622836000,"18",0.00349646132,-71.5580623491412,-33.1090771360599
Calle Colo Colo,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,3999.29066547000,"14",0.00399928718,-71.5648612176038,-33.0400235475835
Jose Ignacio Centena,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,3057.72733288000,"16",0.00305772717,-71.5616158195406,-33.0390817012937
Esperanza 2011,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,18853.87235540000,"84",0.01885387773,-71.557201763194,-33.0587688841866
Generación 2012,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,8831.11392024000,"19",0.00883111305,-71.530169905171,-33.0462699763713
Lomas Frente al Mar,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,12599.25507480000,"29",0.01259925269,-71.6493651966341,-33.0363045680749
Farkas,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,16356.11483970000,"68",0.01635613071,-71.5408619305797,-33.0517866289139
La Fe,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,15971.45686900000,"58",0.01597145874,-71.5439916821302,-33.0488060576195
Nuevo Amanecer,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,22484.16462710000,"47",0.02248416341,-71.6255089687977,-33.0655122763298
Parcela 15-2 (F. Camiroaga),Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,90684.06199180000,"190",0.09068405677,-71.5485113295954,-33.0531848669063
Florida,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,15757.90595880000,"17",0.01575791341,-71.6255312936137,-33.061003066528
Familia Unida de Reñaca Alto,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,3918.92500875000,"29",0.00391892325,-71.4869761335106,-32.9922363109369
